Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Belarus,Europe,994052,10520,,,,7118,75,,,
China,Western Pacific,99381761,6755,0,,0,122398,8,0,,0
French Guiana,,98041,32825,,,,413,138,,,
Latvia,Europe,977783,51255,0,,0,7636,400,4,,4
Saint Vincent and the Grenadines,Americas,9674,8720,,,,124,112,,,
Guinea-Bissau,Africa,9614,489,,,,177,9,,,
Niger,Africa,9573,40,0,,0,315,1,,,
Comoros,Africa,9109,1047,,,,160,18,,,
Antigua and Barbuda,Americas,9106,9299,,,,146,149,,,
Senegal,Africa,89426,534,2,,2,1972,12,,,
Malawi,Africa,89168,466,,,,2686,14,,,
Kyrgyzstan,Europe,88953,1363,,,,1024,16,,,
C�te d'Ivoire,Africa,88523,336,1,,1,835,3,,,
Netherlands (Kingdom of the),Europe,8652640,49706,248,1,248,22986,132,,,
